g: osgi.bundle,org.eclipse.wst.common.uriresolver,1.2.200.v201505132009
  ERROR: org.eclipse.equinox.p2.artifact.repository code=0 No repository found containing: org.eclipse.update.feature,org.eclipse.wst.common_core.feature,3.8.2.v201701191735
  ERROR: org.eclipse.equinox.p2.artifact.repository code=0 No repository found containing: org.eclipse.update.feature,org.eclipse.wst.common_ui.feature,3.8.0.v201701191735
  ERROR: org.eclipse.equinox.p2.artifact.repository code=0 No repository found containing: osgi.bundle,org.eclipse.wst.dtd.core,1.1.700.v201211012112
  ERROR: org.eclipse.equinox.p2.artifact.repository code=0 No repository found containing: osgi.bundle,org.eclipse.wst.dtd.ui,1.0.801.v201308100602
  ERROR: org.eclipse.equinox.p2.artifact.repository code=0 No repository found containing: osgi.bundle,org.eclipse.wst.dtd.ui.infopop,1.0.400.v201309112106
  ERROR: org.eclipse.equinox.p2.artifact.repository code=0 No repository found containing: osgi.bundle,org.eclipse.wst.dtdeditor.doc.user,1.0.700.v201208081537
  ERROR: org.eclipse.equinox.p2.artifact.repository code=0 No repository found containing: osgi.bundle,org.eclipse.wst.internet.cache,1.0.701.v201510130022
  ERROR: org.eclipse.equinox.p2.artifact.repository code=0 No repository found containing: osgi.bundle,org.eclipse.wst.server.core,1.9.0.v201610211907
  ERROR: org.eclipse.equinox.p2.artifact.repository code=0 No repository found containing: osgi.bundle,org.eclipse.wst.server.discovery,1.3.0.v201606030549
  ERROR: org.eclipse.equinox.p2.artifact.repository code=0 No repository found containing: osgi.bundle,org.eclipse.wst.sse.core,1.1.1000.v201608061842
  ERROR: org.eclipse.equinox.p2.artifact.repository code=0 No repository found containing: osgi.bundle,org.eclipse.wst.sse.doc.user,1.1.100.v201208081537
  ERROR: org.eclipse.equinox.p2.artifact.repository code=0 No repository found containing: osgi.bundle,org.eclipse.wst.sse.ui,1.3.500.v201605120129
  ERROR: org.eclipse.equinox.p2.artifact.repository code=0 No repository found containing: osgi.bundle,org.eclipse.wst.sse.ui.infopop,1.0.300.v201309112106
  ERROR: org.eclipse.equinox.p2.artifact.repository code=0 No repository found containing: osgi.bundle,org.eclipse.wst.standard.schemas,1.0.700.v201304171715
  ERROR: org.eclipse.equinox.p2.artifact.repository code=0 No repository found containing: osgi.bundle,org.eclipse.wst.validation,1.2.700.v201508251749
  ERROR: org.eclipse.equinox.p2.artifact.repository code=0 No repository found containing: osgi.bundle,org.eclipse.wst.validation.infopop,1.0.300.v201309101952
  ERROR: org.eclipse.equinox.p2.artifact.repository code=0 No repository found containing: osgi.bundle,org.eclipse.wst.validation.ui,1.2.500.v201310231452
  ERROR: org.eclipse.equinox.p2.artifact.repository code=0 No repository found containing: osgi.bundle,org.eclipse.wst.xml.core,1.1.1001.v201702270442
  ERROR: org.eclipse.equinox.p2.artifact.repository code=0 No repository found containing: osgi.bundle,org.eclipse.wst.xml.ui,1.1.700.v201604272318
  ERROR: org.eclipse.equinox.p2.artifact.repository code=0 No repository found containing: osgi.bundle,org.eclipse.wst.xml.ui.infopop,1.0.400.v201309112106
  ERROR: org.eclipse.equinox.p2.artifact.repository code=0 No repository found containing: org.eclipse.update.feature,org.eclipse.wst.xml_core.feature,3.8.2.v201702270442
  ERROR: org.eclipse.equinox.p2.artifact.repository code=0 No repository found containing: org.eclipse.update.feature,org.eclipse.wst.xml_ui.feature,3.8.2.v201702270442
  ERROR: org.eclipse.equinox.p2.artifact.repository code=0 No repository found containing: org.eclipse.update.feature,org.eclipse.wst.xml_userdoc.feature,3.8.2.v201610032207
